;figi;ticker;share_name;datetime;last_price;sell_flag;buy_flag;strategy_id;profit;currency
3660;BBG0078Y1D92;SYNH;Syneos Health Inc;2017-11-17;35.5;1;0;sma;0;usd
3661;BBG004S686W0;UPRO;Юнипро;2017-11-21;2.702;0;1;sma;0;rub
3662;BBG000BS48J3;RGEN;Repligen Corporation;2017-11-22;35.29;1;0;sma;0;usd
3663;BBG000BLFNC0;GEF;Greif Inc;2017-11-27;51.9354;1;0;sma;0;usd
3664;BBG000CHPMY5;JBSS;John B Sanfilippo & Son Inc;2017-11-27;56.0796;1;0;sma;0;usd
3665;BBG000D0FNV3;WCC;WESCO International Inc;2017-11-28;64.0;0;1;sma;0;usd
3666;BBG000D2ZTS8;HBI;Hanesbrands;2017-11-28;18.99;1;0;sma;0;usd
3667;BBG000BR2TH3;PG;Procter & Gamble;2017-11-29;78.5;1;0;sma;0;usd
3668;BBG000BKR1D6;GWW;WW Grainger;2017-11-29;287.58;0;1;sma;0;usd
3669;BBG000MXH9C1;RRGB;Red Robin Gourmet Burgers Inc;2017-12-01;58.2;1;0;sma;0;usd
3670;BBG000DZJVH0;NXST;Nexstar Media Group Inc;2017-12-01;62.7151;0;1;sma;0;usd
3671;BBG000F6H8W8;COST;Costco Wholesale;2017-12-01;184.0;0;1;sma;0;usd
