;amount_of_sma_rows
BBG000Q5ZRM7;2432
BBG00DYPZ4T0;1039
BBG000BM0QL7;311
BBG000C3KB84;325
BBG004S687G6;2415
BBG00LN4B5N0;0
BBG009NRSWJ4;1532
BBG000BSZ738;325
BBG000PXGT62;2424
BBG000BVXPZ8;0
BBG005D1WCQ1;1961
BBG000BD53V2;2430
BBG000FWGSZ5;2415
BBG000C1BCK2;2421
BBG00H19F184;65
BBG000N16BP3;862
BBG000LNL298;2431
BBG006473QX9;406
BBG000BPBTL2;325
BBG00ZVC67K7;0
BBG00Y91R9T3;178
BBG00HTN2CQ3;263
BBG000BFCS17;59
BBG000CXYSZ6;2432
BBG000BB88K4;2432
BBG000BHPL78;2430
BBG003T4VFC2;861
BBG000BC33T9;2432
BBG005H82GB2;186
BBG009CL6VK3;0
BBG005ZVK9P2;461
BBG001C7TST4;2358
BBG000JG0547;2432
BBG000BBTJZ1;2432
BBG00S1HJ3M8;186
BBG004S686W0;2416
BBG000BNPYN9;0
BBG000BV95H9;2432
BBG000CJ2181;2431
BBG000QKVV49;65
BBG000BNTTY4;0
BBG000BZ0DK8;28
BBG006D97VY9;524
BBG00HMJ9H54;276
BBG00HFWVGN0;1017
BBG000GZQ728;2433
BBG000BTYP37;65
BBG0063GCHH8;1659
BBG000FTLBV7;462
BBG000BRRG02;2432
BBG00L4CWQ45;0
BBG000BSSC44;0
BBG000BBL0Y1;2432
BBG000BX24N8;324
BBG004S68FR6;2416
BBG000BT41Q8;2433
BBG00H9MNDZ2;276
BBG000BVMPN3;2432
BBG0029SG1C1;2151
BBG000BG7GX2;0
BBG000NLC9Z6;2374
BBG000CL9JV4;2425
BBG00475K2X9;2479
BBG00XDH4NZ2;38
BBG000DTT624;2422
BBG001DCTG63;0
BBG000BFVXX0;2432
BBG0021PH456;1900
BBG000BC6M41;59
BBG000BDCM24;462
BBG000BH5LT6;2432
BBG006FCB019;186
